"n","rho_e","p","pro","sub_est_mean","var_jack","sub_z_length","sub_z_coverage","MES","est_var","est_mean","method","target","var_diff_ratio","var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","structure","decor","x_dist"
500,0.5,500,0,0,0,0,0,27.6830121028537,6.88323531500181,14.5682172825952,"EigenPrism","main",-1,10,0,0,0,"un",FALSE,"normal"
500,0.5,500,0,0,0,0,0,26.1078047187008,6.32290195977377,14.4551242158356,"GCTA","main",-1,10,0,0,0,"un",FALSE,"normal"
500,0.5,800,0,0,0,0,0,46.4322832818014,8.61482713011944,16.1633087161608,"EigenPrism","main",-1,10,0,0,0,"un",FALSE,"normal"
500,0.5,800,0,0,0,0,0,45.0682485079025,8.6978162170295,16.0379972220135,"GCTA","main",-1,10,0,0,0,"un",FALSE,"normal"
500,0.5,1000,0,0,0,0,0,64.545455822805,9.99564529870937,17.3985409105582,"EigenPrism","main",-1,10,0,0,0,"un",FALSE,"normal"
500,0.5,1000,0,0,0,0,0,66.370553335067,12.9966193330739,17.3146360261686,"GCTA","main",-1,10,0,0,0,"un",FALSE,"normal"
500,0.5,500,0,0,0,0,0,27.6830121030207,6.88323531507866,14.5682172826052,"EigenPrism","main",-1,10,0,0,0,"un",TRUE,"normal"
500,0.5,500,0,0,0,0,0,26.1078047477866,6.32290204098616,14.4551242100766,"GCTA","main",-1,10,0,0,0,"un",TRUE,"normal"
500,0.5,800,0,0,0,0,0,3.73094247378506,3.80424353631948,9.92283776092605,"EigenPrism","main",-1,10,0,0,0,"un",TRUE,"normal"
500,0.5,800,0,0,0,0,0,3.36417251967716,3.39758438218268,10.0237482908081,"GCTA","main",-1,10,0,0,0,"un",TRUE,"normal"
500,0.5,1000,0,0,0,0,0,4.96908033458042,4.21909412132498,9.08656248397499,"EigenPrism","main",-1,10,0,0,0,"un",TRUE,"normal"
500,0.5,1000,0,0,0,0,0,5.01945807832614,3.24915477112733,8.65731803657378,"GCTA","main",-1,10,0,0,0,"un",TRUE,"normal"
