"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","GCTA_main","GCTA_inter","sub_GCTA_main","sub_GCTA_inter","GCTA_rr_main","sub_GCTA_rr_main","x_dist","structure","p","n","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","interact","decor","combine","d","bs","n_sub","rho_e","emp_n","i"
8,0,0,0,6.29227279777503,0,7.60550877234648,0,6.29227383004808,7.60550899649355,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,10.1789801458043,0,6.29227383004808,10.1789806705601,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,6.56618630009782,0,6.29227383004808,6.5661873022859,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,6.95347002864163,0,6.29227383004808,6.95346885067876,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,5.5103965923429,0,6.29227383004808,5.51039659616304,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,5.55947014307939,0,6.29227383004808,5.55947089445117,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,5.99179141737071,0,6.29227383004808,5.99179037285547,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,0,0,6.29227383004808,1.45813130169402e-06,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,6.7639438221548,0,6.29227383004808,6.76394371722151,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,9.92515949575238,0,6.29227383004808,9.92515996196303,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,6.71578805983462,0,6.29227383004808,6.71578806826243,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,7.38548989656028,0,6.29227383004808,7.38549010457551,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,6.25633205402529,0,6.29227383004808,6.25633201560196,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,5.84581524916123,0,6.29227383004808,5.84581490804417,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,6.56846343221457,0,6.29227383004808,6.56846206670527,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,6.41833435133563,0,6.29227383004808,6.41833427295381,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,6.79803520736226,0,6.29227383004808,6.79803534849773,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,6.70683180023816,0,6.29227383004808,6.70683173146603,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,6.26674567188676,0,6.29227383004808,6.2667456438387,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,4.85612262465532,0,6.29227383004808,4.85612145124928,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,5.57697122269688,0,6.29227383004808,5.57697245141683,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,5.28210845828359,0,6.29227383004808,5.28210832045747,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,9.28741109021119,0,6.29227383004808,9.28741147184578,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,6.18015110044879,0,6.29227383004808,6.18015004159008,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,5.96881570118336,0,6.29227383004808,5.96881472935976,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,6.58736657739867,0,6.29227383004808,6.587365231394,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,6.79656508053493,0,6.29227383004808,6.7965662446975,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,5.45774424038914,0,6.29227383004808,5.45774402196539,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,5.41837465776025,0,6.29227383004808,5.41837511010044,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,4.86966660864561,0,6.29227383004808,4.86966613728491,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,7.82984122328227,0,6.29227383004808,7.82984153943435,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,5.77915459188504,0,6.29227383004808,5.77915408445802,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,6.034794811781,0,6.29227383004808,6.03479472700723,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,6.21331549965689,0,6.29227383004808,6.21331644989821,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,6.24640248940942,0,6.29227383004808,6.24640140266245,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,7.83151255659674,0,6.29227383004808,7.83151365704267,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,5.02150219009553,0,6.29227383004808,5.02150111838099,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,6.09433228327287,0,6.29227383004808,6.09433223524469,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,6.29329026102605,0,6.29227383004808,6.2932912516501,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,6.46135047378186,0,6.29227383004808,6.46135178426723,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,4.34784681569528,0,6.29227383004808,4.34784623178928,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,10.2105269826047,0,6.29227383004808,10.2105274930455,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,6.55440188529347,0,6.29227383004808,6.55440281389992,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
8,0,0,0,6.29227279777503,0,4.19129313465452,0,6.29227383004808,4.19129346911078,"normal","I",100,50,0.5,0,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,1
