"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","h_EigenPrism_total","h_EigenPrism_CI1","h_EigenPrism_CI2","sub_h_EigenPrism_total","sub_h_EigenPrism_CI1","sub_h_EigenPrism_CI2","h_GCTA_total","h_GCTA_inter","sub_h_GCTA_total","sub_h_GCTA_inter","x_dist","structure","p","n","data_name","emp","combine","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","decor","interact","pro","bs","n_sub","rho_e","emp_n","inter_std","i"
8,2,0.621633104446795,11.2432662088936,0.468661786183176,0.277172241047577,0.660151331318774,0.146418720211589,-0.0939752482655552,0.386812688688732,0.503400723114613,0,0.242278143269003,0,"1999","un",21,231,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,0.5,"leave-d",50,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,0.468661786183176,0.277172241047577,0.660151331318774,0.495501388792474,0.245914793253296,0.745087984331653,0.503400723114613,0,0.557181460963826,0,"1999","un",21,231,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,0.5,"leave-d",50,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,0.468661786183176,0.277172241047577,0.660151331318774,0.22125995186478,-0.0189228437256939,0.461442747455254,0.503400723114613,0,0.261280734965627,0,"1999","un",21,231,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,0.5,"leave-d",50,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,0.468661786183176,0.277172241047577,0.660151331318774,0.398211211462613,0.145771607016768,0.650650815908458,0.503400723114613,0,0.507837837142269,0,"1999","un",21,231,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,0.5,"leave-d",50,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,0.468661786183176,0.277172241047577,0.660151331318774,0.39761930629896,0.157995127192648,0.637243485405272,0.503400723114613,0,0.24880682632201,0,"1999","un",21,231,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,0.5,"leave-d",50,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,0.468661786183176,0.277172241047577,0.660151331318774,0.374570617344268,0.129333932009765,0.619807302678772,0.503400723114613,0,0.49186124188179,0,"1999","un",21,231,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,0.5,"leave-d",50,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,0.468661786183176,0.277172241047577,0.660151331318774,0.197001600186407,-0.0445751583434633,0.438578358716276,0.503400723114613,0,0.199481080733746,0,"1999","un",21,231,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,0.5,"leave-d",50,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,0.468661786183176,0.277172241047577,0.660151331318774,0.358265833712087,0.113067360566555,0.603464306857618,0.503400723114613,0,0.483025870342682,0,"1999","un",21,231,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,0.5,"leave-d",50,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,0.468661786183176,0.277172241047577,0.660151331318774,0.427599767882869,0.182629405804361,0.672570129961376,0.503400723114613,0,0.512258468825703,0,"1999","un",21,231,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,0.5,"leave-d",50,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,0.468661786183176,0.277172241047577,0.660151331318774,0.415367916283628,0.168951682271652,0.661784150295604,0.503400723114613,0,0.397134048358507,0,"1999","un",21,231,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,0.5,"leave-d",50,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,0.468661786183176,0.277172241047577,0.660151331318774,0.490848200611193,0.24632795376708,0.735368447455305,0.503400723114613,0,0.534917518233859,0,"1999","un",21,231,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,0.5,"leave-d",50,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,0.468661786183176,0.277172241047577,0.660151331318774,0.677353617536599,0.432067004100749,0.922640230972449,0.503400723114613,0,0.670268549305895,0,"1999","un",21,231,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,0.5,"leave-d",50,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,0.468661786183176,0.277172241047577,0.660151331318774,0.3050778633652,0.0571760473903663,0.552979679340034,0.503400723114613,0,0.261481618811504,0,"1999","un",21,231,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,0.5,"leave-d",50,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,0.468661786183176,0.277172241047577,0.660151331318774,0.174861684276995,-0.067580593346978,0.417303961900967,0.503400723114613,0,0.164917907561858,0,"1999","un",21,231,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,0.5,"leave-d",50,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,0.468661786183176,0.277172241047577,0.660151331318774,0.467147110352935,0.219677482675592,0.714616738030278,0.503400723114613,0,0.545200427162608,0,"1999","un",21,231,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,0.5,"leave-d",50,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,0.468661786183176,0.277172241047577,0.660151331318774,0.0977859811097409,-0.144915819174483,0.340487781393965,0.503400723114613,0,0.134883229955769,0,"1999","un",21,231,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,0.5,"leave-d",50,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,0.468661786183176,0.277172241047577,0.660151331318774,0.32662170186561,0.0827272028289295,0.570516200902291,0.503400723114613,0,0.031117392815576,0,"1999","un",21,231,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,0.5,"leave-d",50,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,0.468661786183176,0.277172241047577,0.660151331318774,0.396432622985195,0.148395447472122,0.644469798498267,0.503400723114613,0,0.50140857827222,0,"1999","un",21,231,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,0.5,"leave-d",50,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,0.468661786183176,0.277172241047577,0.660151331318774,0.0726559378517429,-0.176904240954178,0.322216116657664,0.503400723114613,0,0.132557555993082,0,"1999","un",21,231,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,0.5,"leave-d",50,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,0.468661786183176,0.277172241047577,0.660151331318774,0.265077216179435,0.0239535737884114,0.506200858570459,0.503400723114613,0,0.295730938475971,0,"1999","un",21,231,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,0.5,"leave-d",50,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,0.468661786183176,0.277172241047577,0.660151331318774,0.270117579879628,0.0272543791216778,0.512980780637579,0.503400723114613,0,0.187027586516797,0,"1999","un",21,231,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,0.5,"leave-d",50,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,0.468661786183176,0.277172241047577,0.660151331318774,0.201990142803387,-0.0422487752734133,0.446229060880186,0.503400723114613,0,0.142361932467918,0,"1999","un",21,231,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,0.5,"leave-d",50,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,0.468661786183176,0.277172241047577,0.660151331318774,0.176998081554918,-0.0654590159557698,0.419455179065605,0.503400723114613,0,0.218215988369121,0,"1999","un",21,231,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,0.5,"leave-d",50,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,0.468661786183176,0.277172241047577,0.660151331318774,0.434465675949631,0.191099183362076,0.677832168537187,0.503400723114613,0,0.331262439294392,0,"1999","un",21,231,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,0.5,"leave-d",50,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,0.468661786183176,0.277172241047577,0.660151331318774,0.399451134952381,0.154237267838321,0.644665002066442,0.503400723114613,0,0.510796054218056,0,"1999","un",21,231,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,0.5,"leave-d",50,0.5,4873,FALSE,25
