"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","least_square_main","sub_least_square_main","GCTA_main","GCTA_inter","sub_GCTA_main","sub_GCTA_inter","x_dist","structure","p","n","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","decor","interact","combine","pro","bs","n_sub","rho_e","emp_n","inter_std","i"
10,0,0,0,10.4092285984344,10.4179359197396,10.2070840917785,0,10.2136948274704,0,"chi","I",33,1000,0.5,0,0,0,FALSE,0,FALSE,101,"leave-1",1000,0.5,1e+05,TRUE,35
10,0,0,0,10.4092285984344,10.4182495659527,10.2070840917785,0,10.2083320232585,0,"chi","I",33,1000,0.5,0,0,0,FALSE,0,FALSE,101,"leave-1",1000,0.5,1e+05,TRUE,35
10,0,0,0,10.4092285984344,10.4216155506019,10.2070840917785,0,10.2197247618278,0,"chi","I",33,1000,0.5,0,0,0,FALSE,0,FALSE,101,"leave-1",1000,0.5,1e+05,TRUE,35
10,0,0,0,10.4092285984344,10.4256038650086,10.2070840917785,0,10.2131718481559,0,"chi","I",33,1000,0.5,0,0,0,FALSE,0,FALSE,101,"leave-1",1000,0.5,1e+05,TRUE,35
10,0,0,0,10.4092285984344,10.4215608965764,10.2070840917785,0,10.2166083384817,0,"chi","I",33,1000,0.5,0,0,0,FALSE,0,FALSE,101,"leave-1",1000,0.5,1e+05,TRUE,35
10,0,0,0,10.4092285984344,10.4205162119561,10.2070840917785,0,10.2102278920763,0,"chi","I",33,1000,0.5,0,0,0,FALSE,0,FALSE,101,"leave-1",1000,0.5,1e+05,TRUE,35
10,0,0,0,10.4092285984344,10.41549232185,10.2070840917785,0,10.213324671449,0,"chi","I",33,1000,0.5,0,0,0,FALSE,0,FALSE,101,"leave-1",1000,0.5,1e+05,TRUE,35
10,0,0,0,10.4092285984344,10.4227613553522,10.2070840917785,0,10.2120288520731,0,"chi","I",33,1000,0.5,0,0,0,FALSE,0,FALSE,101,"leave-1",1000,0.5,1e+05,TRUE,35
10,0,0,0,10.4092285984344,10.4211977629873,10.2070840917785,0,10.2198011395888,0,"chi","I",33,1000,0.5,0,0,0,FALSE,0,FALSE,101,"leave-1",1000,0.5,1e+05,TRUE,35
10,0,0,0,10.4092285984344,10.4262508717801,10.2070840917785,0,10.2209517152675,0,"chi","I",33,1000,0.5,0,0,0,FALSE,0,FALSE,101,"leave-1",1000,0.5,1e+05,TRUE,35
10,0,0,0,10.4092285984344,10.4116409640241,10.2070840917785,0,10.1873353314219,0,"chi","I",33,1000,0.5,0,0,0,FALSE,0,FALSE,101,"leave-1",1000,0.5,1e+05,TRUE,35
10,0,0,0,10.4092285984344,10.4278603204784,10.2070840917785,0,10.2217707583986,0,"chi","I",33,1000,0.5,0,0,0,FALSE,0,FALSE,101,"leave-1",1000,0.5,1e+05,TRUE,35
10,0,0,0,10.4092285984344,10.4230579989255,10.2070840917785,0,10.2211455006787,0,"chi","I",33,1000,0.5,0,0,0,FALSE,0,FALSE,101,"leave-1",1000,0.5,1e+05,TRUE,35
10,0,0,0,10.4092285984344,10.4186699179594,10.2070840917785,0,10.2162615971269,0,"chi","I",33,1000,0.5,0,0,0,FALSE,0,FALSE,101,"leave-1",1000,0.5,1e+05,TRUE,35
10,0,0,0,10.4092285984344,10.4201107038794,10.2070840917785,0,10.2171020116813,0,"chi","I",33,1000,0.5,0,0,0,FALSE,0,FALSE,101,"leave-1",1000,0.5,1e+05,TRUE,35
10,0,0,0,10.4092285984344,10.4209833454755,10.2070840917785,0,10.2166207633843,0,"chi","I",33,1000,0.5,0,0,0,FALSE,0,FALSE,101,"leave-1",1000,0.5,1e+05,TRUE,35
10,0,0,0,10.4092285984344,10.3969461682312,10.2070840917785,0,10.1912138398614,0,"chi","I",33,1000,0.5,0,0,0,FALSE,0,FALSE,101,"leave-1",1000,0.5,1e+05,TRUE,35
10,0,0,0,10.4092285984344,10.4266966052433,10.2070840917785,0,10.2230601969973,0,"chi","I",33,1000,0.5,0,0,0,FALSE,0,FALSE,101,"leave-1",1000,0.5,1e+05,TRUE,35
10,0,0,0,10.4092285984344,10.4077900809962,10.2070840917785,0,10.1994122854555,0,"chi","I",33,1000,0.5,0,0,0,FALSE,0,FALSE,101,"leave-1",1000,0.5,1e+05,TRUE,35
10,0,0,0,10.4092285984344,10.4154290748669,10.2070840917785,0,10.1930880774034,0,"chi","I",33,1000,0.5,0,0,0,FALSE,0,FALSE,101,"leave-1",1000,0.5,1e+05,TRUE,35
10,0,0,0,10.4092285984344,10.385275476942,10.2070840917785,0,10.1790884257234,0,"chi","I",33,1000,0.5,0,0,0,FALSE,0,FALSE,101,"leave-1",1000,0.5,1e+05,TRUE,35
