"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","least_square_total","sub_least_square_total","GCTA_total","GCTA_inter","sub_GCTA_total","sub_GCTA_inter","x_dist","structure","p","n","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","decor","interact","combine","pro","bs","n_sub","rho_e","emp_n","inter_std","i"
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8735336264467,26.134594830379,0,26.2013447789212,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8411394601764,26.134594830379,0,26.0414330648979,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8477754342796,26.134594830379,0,26.3805722888468,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8614874715288,26.134594830379,0,26.2698986458684,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8736504313465,26.134594830379,0,26.1602634735602,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8531645622085,26.134594830379,0,26.1137838954198,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8880072992502,26.134594830379,0,26.1892383039835,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8570682460092,26.134594830379,0,26.1592306814453,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.9115410928648,26.134594830379,0,26.3635720259162,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8450741673783,26.134594830379,0,26.1127234581848,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8474709605235,26.134594830379,0,26.064313726121,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8497999095611,26.134594830379,0,26.0916830183387,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8566297322817,26.134594830379,0,26.1729857570789,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8172590689682,26.134594830379,0,25.9911070870836,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.9199965531832,26.134594830379,0,26.502098658294,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8515582967364,26.134594830379,0,26.1063160134531,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8610571491381,26.134594830379,0,26.113562874543,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8431704723706,26.134594830379,0,25.9341826705199,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.7888011263701,26.134594830379,0,26.1272130412504,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.7824420266567,26.134594830379,0,26.0867340027843,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8516942094274,26.134594830379,0,26.0922054723899,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8572273821242,26.134594830379,0,26.2092417598658,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8447128731497,26.134594830379,0,26.1540250096707,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8410778363599,26.134594830379,0,26.1562795106757,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8834323591449,26.134594830379,0,26.1256666939496,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8603160836983,26.134594830379,0,26.0670741821761,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8502322276712,26.134594830379,0,26.1027652487758,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
8,2,1.59603869023752,13.192077380475,11.8482117464572,11.8512864651454,26.134594830379,0,26.2311217458979,0,"chi","un",33,1000,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",1000,0.5,1e+05,TRUE,93
