"x_dist","structure","n","p","pro","decor","method","est_signal","true_CI_coverage_rate","true_emp_main","true_emp_inter","true_emp_cov","true_emp_total","est","var","CI_length","CI_coverage","sub_est_ave","sub_est_ave_var","sub_mean_of_var","sub_CI_length","sub_CI_coverage_rate","sub_eg_CI_length","sub_eg_CI_coverage"
"chi","I",1000,33,0.5,FALSE,"EigenPrism","total",0.95,97.6235073018283,13.6424799507282,-0.175385414843728,110.915216422869,126.208869350471,24.3457605496066,34.8527841741098,0.65,117.913861726844,37.9834973499639,68.457416862445,31.7737553368131,0.93,49.0998887820017,0.9731
"chi","I",264,33,0.5,FALSE,"EigenPrism","total",0.95,97.6235073018283,13.6424799507282,-0.175385414843728,110.915216422869,115.17045974605,191.27673447399,69.5229663739838,0.99,112.669842670386,227.340876608622,336.470052897561,68.338408131417,0.98,102.918834542647,0.96315
"chi","I",528,33,0.5,FALSE,"EigenPrism","total",0.95,97.6235073018283,13.6424799507282,-0.175385414843728,110.915216422869,118.508573798146,82.7130360088481,47.5804191151015,0.98,116.322769407275,96.393856614776,148.821772033678,46.0637498586455,0.96,69.718024373727,0.9771
"chi","I",1000,33,0.5,FALSE,"EigenPrism","main",0.95,97.7024344610317,0,0,97.7024344610317,98.1448751277878,5.48732110625734,110.232476381378,1,98.2800432610431,5.78545642067262,24.7868955792934,18.8157085851308,1,109.963389724674,1
"chi","I",528,33,0.5,FALSE,"EigenPrism","main",0.95,97.7024344610317,0,0,97.7024344610317,97.948460321163,10.6830172974288,109.36894584921,1,98.7851019051311,10.8708187463601,44.831919092035,25.4624282588556,1,109.270353379673,1
"chi","I",528,33,101,FALSE,"EigenPrism","main",0.95,97.7024344610317,0,0,97.7024344610317,97.948460321163,10.6826821182975,109.36894584921,1,99.4646727479387,13.737387956087,1418.63484377467,1.18595975542927,0.21,110.128873241387,0.996117424242424
"chi","I",1000,33,0.5,FALSE,"GCTA","total",0.95,97.6235073018283,13.6424799507282,-0.175385414843728,110.915216422869,113.503975429803,18.2145114206763,NA,NA,115.368817735499,25.0127422759151,61.0472483649353,29.968046430348,0.99,NA,NA
"chi","I",1000,33,0.5,FALSE,"GCTA","total",0.95,97.6235073018283,13.6424799507282,-0.175385414843728,110.915216422869,113.503975429803,18.2145114206763,NA,NA,115.368817735499,25.0127422759151,61.0472483649353,29.968046430348,0.99,NA,NA
"chi","I",2000,33,0.5,FALSE,"GCTA","total",0.95,97.6235073018283,13.6424799507282,-0.175385414843728,110.915216422869,111.827128482767,6.17993753804028,NA,NA,112.764983005553,8.32913452826402,23.7756995623076,18.7046849448869,0.99,NA,NA
"chi","I",264,33,0.5,FALSE,"GCTA","total",0.95,97.6235073018283,13.6424799507282,-0.175385414843728,110.915216422869,116.378448314157,198.954261584078,NA,NA,115.094406818145,218.187846892371,332.556716670173,69.4855503962567,0.98,NA,NA
"chi","I",264,33,0.5,FALSE,"GCTA","total",0.95,97.6235073018283,13.6424799507282,-0.175385414843728,110.915216422869,116.378448314157,198.954261584078,NA,NA,115.094406818145,218.187846892371,332.556716670173,69.4855503962567,0.98,NA,NA
"chi","I",528,33,0.5,FALSE,"GCTA","total",0.95,97.6235073018283,13.6424799507282,-0.175385414843728,110.915216422869,115.416898385681,63.5165597348495,NA,NA,118.668561526477,84.6677826644834,145.974301000837,46.1547088436196,0.95,NA,NA
"chi","I",1000,33,0.5,FALSE,"GCTA","main",0.95,97.7024344610317,0,0,97.7024344610317,97.6012639332815,5.62821309703192,NA,NA,97.5550940366662,5.72481179172116,25.0227359117832,18.8998010955922,1,NA,NA
"chi","I",528,33,0.5,FALSE,"GCTA","main",0.95,97.7024344610317,0,0,97.7024344610317,97.2745605528641,10.5992413375108,NA,NA,97.250287695896,10.9400760642844,45.5022594269638,25.6441866823811,1,NA,NA
"chi","I",528,33,0.5,FALSE,"GCTA","main",0.95,97.7024344610317,0,0,97.7024344610317,97.2745605528641,10.5992413375108,NA,NA,97.250287695896,10.9400760642844,45.5022594269638,25.6441866823811,1,NA,NA
"chi","I",528,33,101,FALSE,"GCTA","main",0.95,97.7024344610317,0,0,97.7024344610317,97.2745605528641,10.5989121124158,NA,NA,97.2748032886411,10.70512864542,0.0849824133990262,1.07599398331916,0.14,NA,NA
"chi","I",528,33,101,FALSE,"GCTA","main",0.95,97.7024344610317,0,0,97.7024344610317,97.2745605528641,10.5989121124158,NA,NA,97.2748032886411,10.70512864542,0.0849824133990262,1.07599398331916,0.14,NA,NA
