"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","EigenPrism_main","EigenPrism_CI1","EigenPrism_CI2","sub_EigenPrism_main","sub_EigenPrism_CI1","sub_EigenPrism_CI2","GCTA_main","GCTA_inter","sub_GCTA_main","sub_GCTA_inter","x_dist","structure","p","n","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","decor","interact","combine","pro","bs","n_sub","rho_e","emp_n","inter_std","i"
10,0,0,0,11.254413634531,8.28108377332873,14.2277434957333,21.5808095220416,19.0113498208819,24.1502692232014,11.3433153371518,0,24.7037531144084,0,"normal","I",1000,500,0.5,0,0,0,FALSE,0,FALSE,"102","bs",200,0.5,1e+05,TRUE,222
10,0,0,0,11.254413634531,8.28108377332873,14.2277434957333,20.9537785270321,18.4518825299703,23.455674524094,11.3433153371518,0,25.5598122900508,0,"normal","I",1000,500,0.5,0,0,0,FALSE,0,FALSE,"102","bs",200,0.5,1e+05,TRUE,222
10,0,0,0,11.254413634531,8.28108377332873,14.2277434957333,21.7063702067675,19.289755077915,24.1229853356201,11.3433153371518,0,26.3101547201378,0,"normal","I",1000,500,0.5,0,0,0,FALSE,0,FALSE,"102","bs",200,0.5,1e+05,TRUE,222
10,0,0,0,11.254413634531,8.28108377332873,14.2277434957333,19.4483464227756,17.1123529889442,21.784339856607,11.3433153371518,0,24.2975704360946,0,"normal","I",1000,500,0.5,0,0,0,FALSE,0,FALSE,"102","bs",200,0.5,1e+05,TRUE,222
10,0,0,0,11.254413634531,8.28108377332873,14.2277434957333,19.7443370992995,17.4033439215744,22.0853302770245,11.3433153371518,0,21.9284327450622,0,"normal","I",1000,500,0.5,0,0,0,FALSE,0,FALSE,"102","bs",200,0.5,1e+05,TRUE,222
10,0,0,0,11.254413634531,8.28108377332873,14.2277434957333,20.2026861259192,17.893633127349,22.5117391244893,11.3433153371518,0,23.8656431469922,0,"normal","I",1000,500,0.5,0,0,0,FALSE,0,FALSE,"102","bs",200,0.5,1e+05,TRUE,222
10,0,0,0,11.254413634531,8.28108377332873,14.2277434957333,22.0037505458627,19.5513184682004,24.456182623525,11.3433153371518,0,25.4164212695185,0,"normal","I",1000,500,0.5,0,0,0,FALSE,0,FALSE,"102","bs",200,0.5,1e+05,TRUE,222
10,0,0,0,11.254413634531,8.28108377332873,14.2277434957333,23.1692033098193,20.4487923892261,25.8896142304124,11.3433153371518,0,26.7506560387949,0,"normal","I",1000,500,0.5,0,0,0,FALSE,0,FALSE,"102","bs",200,0.5,1e+05,TRUE,222
10,0,0,0,11.254413634531,8.28108377332873,14.2277434957333,20.686761471599,18.2830086320603,23.0905143111377,11.3433153371518,0,25.7938336597633,0,"normal","I",1000,500,0.5,0,0,0,FALSE,0,FALSE,"102","bs",200,0.5,1e+05,TRUE,222
10,0,0,0,11.254413634531,8.28108377332873,14.2277434957333,21.9432567385451,19.4144263115844,24.4720871655058,11.3433153371518,0,24.4175006627144,0,"normal","I",1000,500,0.5,0,0,0,FALSE,0,FALSE,"102","bs",200,0.5,1e+05,TRUE,222
