"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue","points"
"S312425","0","5","41.7060099905292","61.0838818624911","0.68276620147383","-0.550536451537772","-0.31723379852617","0.31723379852617","-1","weekend","0.675","1","0"
"S312425","5","10","40.4856036809127","60.4155284250857","0.670119168635829","-0.577510419149432","-0.329880831364172","0.329880831364172","-1","weekend","0.925","1","5"
"S312425","10","15","39.3349817505516","59.7915943114397","0.657868086702378","-0.604129765849687","-0.342131913297622","0.342131913297622","-1","weekend","0.975","1","10"
"S312425","15","20","38.2546451657837","59.2039345318961","0.646150386258097","-0.630058115326058","-0.353849613741904","0.353849613741904","-1","weekend","0.975","1","15"
"S312425","20","25","37.2451748682006","58.6104976921487","0.635469349941893","-0.654105552274276","-0.364530650058107","0.364530650058107","-1","weekend","0.9","1","20"
"S312425","25","30","36.3072524840344","57.9369091058936","0.626668785828291","-0.674224960149949","-0.373331214171708","0.373331214171708","-1","weekend","0.55","0.977961847389558","25"
"S312425","30","35","35.4416869676535","57.114522622371","0.620537217862896","-0.688410353643736","-0.379462782137105","0.379462782137105","-1","weekend","0.125","0.6325","30"
"S312425","35","40","34.649447534454","56.1232427354897","0.617381424265838","-0.695766019000598","-0.382618575734162","0.382618575734162","-1","weekend","0.075","0.527083333333333","35"
"S312425","40","45","33.9317034015875","54.9892243072106","0.617060957470864","-0.696515079261499","-0.382939042529136","0.382939042529136","-1","weekend","0.025","0.299966124661247","40"
"S312425","45","50","33.2898710563629","53.7466545037362","0.619384989888975","-0.691091673571798","-0.380615010111023","0.380615010111023","-1","weekend","0","0","45"
"S312425","50","55","32.725670023674","52.4279229382932","0.624203061833892","-0.679912660921271","-0.37579693816611","0.37579693816611","-1","weekend","0","0","50"
"S312425","55","60","32.2411884163809","51.0631497420435","0.63139834850091","-0.663377607775685","-0.36860165149909","0.36860165149909","-1","weekend","0.1","0.576872964169381","55"
"S312425","60","65","31.8389599381543","49.6798901911982","0.640882252670421","-0.64186877562942","-0.359117747329577","0.359117747329577","-1","weekend","0.275","0.81770483546004","60"
"S312425","65","70","31.5168907799589","48.3029960235018","0.65248314544763","-0.615987459554534","-0.347516854552368","0.347516854552368","-1","weekend","0.525","0.977961847389558","65"
"S312425","70","75","31.2479990017278","46.9546107491632","0.665493729011153","-0.587503023291348","-0.334506270988848","0.334506270988848","-1","weekend","0.8","1","70"
"S312425","75","80","30.9851685874305","45.6566186138337","0.678656666397151","-0.559246197822577","-0.321343333602847","0.321343333602847","-1","weekend","0.875","1","75"
"S312425","80","85","30.698258820759","44.4346380277772","0.690863258558981","-0.533527906301082","-0.30913674144102","0.30913674144102","-1","weekend","0.85","1","80"
"S312425","85","90","30.3798493016546","43.297751206338","0.701649588147837","-0.511177382955778","-0.298350411852162","0.298350411852162","-1","weekend","0.825","1","85"
"S312425","90","95","30.0286881038435","42.2313735171617","0.71105165669406","-0.49197372189326","-0.28894834330594","0.28894834330594","-1","weekend","0.625","1","90"
"S312425","95","100","29.6463704018009","41.2172075906857","0.719271686141601","-0.47539128081047","-0.280728313858397","0.280728313858397","-1","weekend","0.625","1","95"
"S312425","100","105","29.2451676353544","40.2383995419193","0.726797486189467","-0.460374665227636","-0.273202513810533","0.273202513810533","-1","weekend","0.5","0.977961847389558","100"
"S312425","105","110","28.8473453365481","39.2794002018613","0.734414099713801","-0.445334338161904","-0.265585900286197","0.265585900286197","-1","weekend","0.3","0.839601769911504","105"
"S312425","110","115","28.4762677804345","38.3258872255414","0.743003485160213","-0.428559116947766","-0.256996514839785","0.256996514839785","-1","weekend","0.275","0.81770483546004","110"
"S312425","115","120","28.1543487665861","37.3647411881787","0.753500435739495","-0.408319748772258","-0.246499564260504","0.246499564260504","-1","weekend","0.075","0.527083333333333","115"
"S312425","120","125","27.9033435321447","36.3840690993301","0.766911019654436","-0.382868895190579","-0.233088980345561","0.233088980345561","-1","weekend","0.05","0.450406917599186","120"
"S312425","125","130","27.7448195064787","35.3732685849787","0.784344241183879","-0.350441116505146","-0.215655758816121","0.215655758816121","-1","weekend","0.125","0.6325","125"
"S312425","130","135","27.7008082484543","34.3378371733282","0.806713833158099","-0.309871100071719","-0.193286166841898","0.193286166841898","-1","weekend","0.525","0.977961847389558","130"
"S312425","135","140","27.7946538524115","33.3547794850325","0.833303480986406","-0.263086088158948","-0.166696519013596","0.166696519013596","-1","weekend","0.925","1","135"
"S312425","140","145","28.0118834294913","32.5482061574248","0.860627565587091","-0.216539044865027","-0.139372434412913","0.139372434412913","-1","weekend","1","1","140"
"S312425","145","150","28.1845416468533","31.9666628849548","0.88168545300731","-0.181664038111456","-0.1183145469927","0.1183145469927","-1","weekend","1","1","145"
"S312425","150","155","28.1701465202337","31.5787748340681","0.892059513652913","-0.164788132289106","-0.107940486347079","0.107940486347079","-1","weekend","1","1","150"
