"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue","points"
"S312425","0","10","41.3244337632476","62.520412727161","0.660975063353906","-0.597332250770555","-0.339024936646094","0.339024936646094","-1","weekend","0","0","0"
"S312425","10","20","38.7821001378152","60.3377121533965","0.64275059086131","-0.637669063601609","-0.35724940913869","0.35724940913869","-1","weekend","0","0","10"
"S312425","20","30","36.7202002692471","58.0273326257128","0.632808688727764","-0.660158686134813","-0.367191311272237","0.367191311272237","-1","weekend","0","0","20"
"S312425","30","40","35.0641048449777","55.5635064555816","0.631063571788949","-0.664142748815916","-0.368936428211051","0.368936428211051","-1","weekend","0","0","30"
"S312425","40","50","33.7451345514441","52.9852061993226","0.636878422714822","-0.65091010025004","-0.363121577285179","0.363121577285179","-1","weekend","0","0","40"
"S312425","50","60","32.6986014812095","50.3842032151221","0.64898518572574","-0.623742548440977","-0.351014814274259","0.351014814274259","-1","weekend","0","0","50"
"S312425","60","70","31.8978817622445","47.8435626022156","0.66671209306573","-0.584864199409243","-0.33328790693427","0.33328790693427","-1","weekend","0","0","60"
"S312425","70","80","31.3709343726136","45.4251564716928","0.69060707346518","-0.534062983978896","-0.30939292653482","0.30939292653482","-1","weekend","0","0","70"
"S312425","80","90","30.8278155876609","43.172510465848","0.714061222176262","-0.485880321552348","-0.285938777823738","0.285938777823738","-1","weekend","0","0","80"
"S312425","90","100","29.990160238111","41.1102901171073","0.729504952474932","-0.455010322519698","-0.270495047525068","0.270495047525068","-1","weekend","0","0","90"
"S312425","100","110","29.0308620733593","39.2338908452676","0.739943488853873","-0.434513001799078","-0.260056511146128","0.260056511146128","-1","weekend","0","0","100"
"S312425","110","120","28.2129083817212","37.5207537011561","0.751928082426868","-0.41133341182453","-0.248071917573132","0.248071917573132","-1","weekend","0","0","110"
"S312425","120","130","27.773078494617","35.9685365817546","0.772149248593707","-0.373048362167249","-0.227850751406294","0.227850751406294","-1","weekend","0","0","120"
"S312425","130","140","27.7710462656133","34.5952559102038","0.802741460785733","-0.316992681616604","-0.197258539214267","0.197258539214267","-1","weekend","0","0","130"
"S312425","140","150","27.6721052679398","33.4162977773532","0.828102067210261","-0.272119497714707","-0.171897932789742","0.171897932789742","-1","weekend","0.05","0.0694540320050204","140"
"S312425","150","160","27.2593543683437","32.439442447832","0.840315132178404","-0.250997630839261","-0.159684867821596","0.159684867821596","-1","weekend","0.05","0.0694540320050204","150"
"S312425","160","170","27.1879572171197","31.6612617624197","0.85871363627682","-0.219750993095054","-0.14128636372318","0.14128636372318","-1","weekend","0.05","0.0694540320050204","160"
"S312425","170","180","27.9103118689031","31.0691054361546","0.89833007668204","-0.154682457832267","-0.10166992331796","0.10166992331796","-1","weekend","0.2","0.262496294100208","170"
"S312425","180","190","29.4976730707455","30.6535580886321","0.962291978812234","-0.0554533916694061","-0.037708021187762","0.037708021187762","-1","weekend","0.7","0.776083145504633","180"
"S312425","190","200","31.9930756448376","30.4284328530209","1.05142041982163","0.0723396591296494","0.0489056697513579","0.0489056697513579","1","weekday","0.45","0.55016570008285","190"
"S312425","200","210","35.4856559859503","30.4144057776264","1.16673842801343","0.222481158383751","0.142909862236501","0.142909862236501","1","weekday","0.05","0.0694540320050204","200"
"S312425","210","220","40.0992336203566","30.6205038287204","1.30955499114765","0.389076642957123","0.236381819198267","0.236381819198267","1","weekday","0","0","210"
"S312425","220","230","45.9768262324313","31.0696294644053","1.47979963150524","0.565401844635783","0.324232836182824","0.324232836182824","1","weekday","0","0","220"
"S312425","230","240","53.2563810260242","31.8046717466822","1.67448296433305","0.743715698590318","0.402800732345284","0.402800732345284","1","weekday","0","0","230"
"S312425","240","250","62.1897763791182","32.8755700412249","1.89167142352617","0.919661519535604","0.471366968087961","0.471366968087961","1","weekday","0","0","240"
"S312425","250","260","73.6545205001158","34.3290134816134","2.14554725085721","1.10134567355274","0.533918444536485","0.533918444536485","1","weekday","0","0","250"
"S312425","260","270","88.2810167946669","36.2090967057122","2.43808945338148","1.2857510593389","0.589842776846001","0.589842776846001","1","weekday","0","0","260"
"S312425","270","280","105.218415849657","38.5667699365872","2.72821436751536","1.44795700755886","0.633459887937356","0.633459887937356","1","weekday","0","0","270"
"S312425","280","290","122.125587382895","41.4627008781619","2.94543251636599","1.55847949938675","0.660491287970915","0.660491287970915","1","weekday","0","0","280"
"S312425","290","300","136.546721212749","44.9675184522901","3.03656341093456","1.60243949653382","0.670680349898495","0.670680349898495","1","weekday","0","0","290"
"S312425","300","310","152.65207086112","49.1614122115376","3.10511972691652","1.63464889681891","0.677951226378948","0.677951226378948","1","weekday","0","0","300"
"S312425","310","320","182.618792702691","54.1070452557681","3.37513889068306","1.7549468718751","0.703715896622666","0.703715896622666","1","weekday","0","0","310"
"S312425","320","330","231.362994939699","59.721873472132","3.87400765395714","1.95382680430645","0.741869379380668","0.741869379380668","1","weekday","0","0","320"
"S312425","330","340","284.195690203945","65.7286723939963","4.32377043157657","2.11228992593606","0.768720375925376","0.768720375925376","1","weekday","0","0","330"
"S312425","340","350","307.469488385336","71.800849932361","4.28225416098811","2.09837042531599","0.766478129880723","0.766478129880723","1","weekday","0","0","340"
"S312425","350","360","281.733154087044","77.611622200581","3.6300382094698","1.8599847339848","0.7245208060369","0.7245208060369","1","weekday","0","0","350"
"S312425","360","370","256.136185256462","82.8677618711971","3.0909026559035","1.62802821904353","0.676469914673616","0.676469914673616","1","weekday","0","0","360"
"S312425","370","380","274.663204612182","87.6534448922354","3.13351294920427","1.64778095505826","0.680869357743058","0.680869357743058","1","weekday","0","0","370"
"S312425","380","390","318.36558201951","92.2716213362759","3.45030874508267","1.78672546480965","0.710170864730531","0.710170864730531","1","weekday","0","0","380"
"S312425","390","400","353.210981807715","96.8735300351473","3.64610416983426","1.86635578001567","0.725734659949262","0.725734659949262","1","weekday","0","0","390"
"S312425","400","410","363.411931517689","101.566410119218","3.57807203278248","1.83918243163018","0.720519880304825","0.720519880304825","1","weekday","0","0","400"
"S312425","410","420","363.167609174185","106.466524452872","3.41109669016144","1.77023564983239","0.706839151500959","0.706839151500959","1","weekday","0","0","410"
"S312425","420","430","368.626432962453","111.697554954248","3.30021935675713","1.72256191974023","0.696989838583755","0.696989838583755","1","weekday","0","0","420"
"S312425","430","440","368.83512139838","117.389960065249","3.14196479148107","1.6516670140375","0.681727814801955","0.681727814801955","1","weekday","0","0","430"
"S312425","440","450","355.67340611167","123.681104563058","2.87572954145418","1.52392799860383","0.652262152756436","0.652262152756436","1","weekday","0","0","440"
"S312425","450","460","340.651774775874","130.715923461182","2.60604649958377","1.38186282608579","0.616276992693831","0.616276992693831","1","weekday","0","0","450"
"S312425","460","470","328.550941048452","138.647845260525","2.36967938759589","1.24469187886414","0.578001984051299","0.578001984051299","1","weekday","0","0","460"
"S312425","470","480","320.896024508381","147.639661327421","2.17350826751579","1.12002558330008","0.539914333455486","0.539914333455486","1","weekday","0","0","470"
"S312425","480","490","319.090039994556","157.863976320238","2.02129736899101","1.01528158357285","0.505268242396622","0.505268242396622","1","weekday","0","0","480"
"S312425","490","500","323.227180887187","169.502801185952","1.90691350600509","0.931239407212559","0.475592365961595","0.475592365961595","1","weekday","0","0","490"
"S312425","500","510","326.30037188317","182.713334145817","1.78585965500887","0.836618708130785","0.440045584099924","0.440045584099924","1","weekday","0","0","500"
