Variable,Label
ALQ100,Had at least 12 alcohol drinks/1 yr?
ALQ110,Had at least 12 alcohol drinks/lifetime?
ALQ130,Avg # alcoholic drinks/day -past 12 mos
BMXBMI,Body Mass Index (kg/m**2)
BMXWT,Weight (kg)
DMDEDUC,Education - Recode (old version)
INDFMPIR,Family PIR
RIAGENDR,Gender
RIDAGEYR,Age at Screening Adjudicated - Recode
RIDRETH1,Race/Ethnicity - Recode
rx_antidiab,"Taken antidiabetic drugs, past month"
rx_antihypertensive,"Taken antihypertensive drugs, past month"
rx_cns,"Taken select cns drugs, past month"
rx_corticosteroids,"Taken adrenal cortical steroids, past month"
rx_hormones,"Taken hormones or hormone modifying drugs, not thyroid, past month"
rx_immuno,"Taken immunosupressant drugs, past month"
rx_thyroid,"Taken thyroid hormones, past month"
smoke,"Smoking Status (1=Never, 2=Former, 3=Current)"
WHD050,Self-reported weight-1 yr ago (pounds)
