exposure,type
LBD199,PCB199 (ng/g)
LBD028LC,PCB28 comment code
LBD044LC,PCB44 Comment Code
LBD049LC,PCB49 Comment Code
LBD052LC,PCB52 comment code
LBD066LC,PCB66 comment code
LBD074LC,PCB74 comment code
LBD087LC,PCB87 comment code
LBD099LC,PCB99 comment code
LBD101LC,PCB101 comment code
LBD105LC,PCB105 comment code
LBD110LC,PCB110 comment code
LBD118LC,PCB118 comment code
LBD128LC,PCB128 comment code
LBD138LC,PCB138 comment code
LBD146LC,PCB146 comment code
LBD149LC,PCB149 comment code
LBD151LC,PCB151 comment code
LBD153LC,PCB153 comment code
LBD156LC,PCB156 comment code
LBD157LC,PCB157 comment code
LBD167LC,PCB167 comment code
LBD170LC,PCB170 comment code
LBD172LC,PCB172 comment code
LBD177LC,PCB177 comment code
LBD178LC,PCB178 comment code
LBD180LC,PCB180 comment code
LBD183LC,PCB183 comment code
LBD187LC,PCB187 comment code
LBD189LC,PCB189 comment code
LBD194LC,PCB194 comment code
LBD195LC,PCB195 comment code
LBD196LC,PCB196 comment code
LBD199LA,PCB199 Lipid Adj (ng/g)
LBD199LC,PCB199 comment code
LBD206LC,PCB206 comment code
LBD209LC,PCB209 Comment Code
LBDALDLC,Aldrin comment code
LBDBHC,Beta-hexachlorocyclohexane (ng/g)
LBDBHCLC,Beta-hexachlorocyclohexane comment code
LBDD01LC,"1,2,3,7,8-pncdd comment code"
LBDD02LC,"1,2,3,4,7,8-hxcdd comment code"
LBDD03LC,"1,2,3,6,7,8-hxcdd comment code"
LBDD04LC,"1,2,3,7,8,9-hxcdd comment code"
LBDD05LC,"1,2,3,4,6,7,8-hpcdd comment code"
LBDD07LC,"1,2,3,4,6,7,8,9-ocdd comment code"
LBDDIELC,Dieldrin comment code
LBDENDLC,Endrin comment code
LBDF01LC,"2,3,7,8-tcdf comment code"
LBDF02LC,"1,2,3,7,8-pncdf comment code"
LBDF03LC,"2,3,4,7,8-pncdf comment code"
LBDF04LC,"1,2,3,4,7,8-hcxdf comment code"
LBDF05LC,"1,2,3,6,7,8-hxcdf comment code"
LBDF06LC,"1,2,3,7,8,9-hxcdf comment code"
LBDF07LC,"2,3,4,6,7,8-hxcdf comment code"
LBDF08LC,"1,2,3,4,6,7,8-hpcdf comment code"
LBDF09LC,"1,2,3,4,7,8,9-hpcdf comment code"
LBDF10LC,"1,2,3,4,6,7,8,9-ocdf comment code"
LBDGHCLC,Gamma-hexachlorocyclohexane comment code
LBDHCBLC,Hexachlorobenzene comment code
LBDHPELC,Heptachlor Epoxide comment code
LBDHXCLC,"3,3',4,4',5,5'-hxcb comment code"
LBDMIRLC,Mirex comment code
LBDODTLC,"o,p'-DDT comment code"
LBDOXYLC,Oxychlordane comment code
LBDPCBLC,"3,3',4,4',5-pncb comment code"
LBDPDELC,"p,p'-DDE comment code"
LBDPDTLC,"p,p'-DDT comment code"
LBDTC2LC,"3,4,4',5-tcb comment code"
LBDTCDLC,"2,3,7,8-tcdd comment code"
LBDTNALC,Trans-nonachlor comment code
LBX028,PCB28 (ng/g)
LBX044,PCB44 (ng/g)
LBX049,PCB49 (ng/g)
LBX052,PCB52 (ng/g)
LBX066,PCB66 (ng/g)
LBX074,PCB74 (ng/g)
LBX081,PCB 81 (ng/g)
LBX087,PCB87 (ng/g)
LBX099,PCB99 (ng/g)
LBX101,PCB101 (ng/g)
LBX105,PCB105 (ng/g)
LBX110,PCB110 (ng/g)
LBX118,PCB118 (ng/g)
LBX126,PCB 126
